,timestamp,subject,activity,heart_rate,breathing_rate
31413,66.69921875,x011,Rest,84.99937073888,14.99984740745262
20942,244.53125,x007,Rest,63.000482047438986,17.999999807733392
22460,92.67578125,x008,Rest,87.66032726086983,8.000121951962006
14887,253.41796875,x005,Rest,78.99991206091092,15.523499228608816
33412,261.9140625,x011,Rest,91.99956881010174,15.187536240730005
31522,77.34375,x011,Rest,88.75767924250768,14.000061037018952
8059,186.81640625,x003,Rest,88.00004980620974,12.999740513322912
20050,157.421875,x007,Rest,57.68006874415652,14.999999839777828
16157,77.34375,x006,Rest,74.00006103701895,11.999849800455804
33288,249.8046875,x011,Rest,90.99991981567165,15.999938962981048
14039,170.60546875,x005,Rest,67.99974370554568,13.999938941618185
34702,87.79296875,x012,Rest,75.61746239676137,16.999786396374077
37256,37.109375,x013,Rest,111.9995062349556,7.000183111056856
18254,282.12890625,x006,Rest,73.00027466658528,13.15613237736239
12388,9.375,x005,Rest,67.48092902070356,17.000091529587554
22933,138.8671875,x008,Rest,95.0000121082163,10.000152439952506
2509,245.01953125,x001,Rest,122.18353831598864,17.00003041474636
14657,230.95703125,x005,Rest,75.99986614581131,14.999893162328114
5991,284.9609375,x002,Rest,117.00028037966396,20.000198400679032
32126,136.328125,x011,Rest,83.99972174444989,14.99984740745262
1048,102.34375,x001,Rest,105.0,14.999908352916602
16929,152.734375,x006,Rest,78.00042725913266,14.99993432432154
22748,120.80078125,x008,Rest,90.64421290961177,8.000121951962006
3090,1.66015625,x002,Rest,114.6403449636693,18.000077849606544
26194,157.2265625,x009,Rest,71.99977144077778,5.000213629566332
28629,94.921875,x010,Rest,74.99961634419887,10.999984673604636
32399,162.98828125,x011,Rest,84.99937073888,15.999938962981048
36823,294.921875,x012,Rest,77.00050014799264,16.999786396374077
9182,296.484375,x003,Rest,89.53963238347876,10.999954155095343
22756,121.58203125,x008,Rest,89.99984522540919,8.000121951962006
38275,136.62109375,x013,Rest,123.77720883683176,8.000045777764214
38741,182.12890625,x013,Rest,116.99965858334748,7.000183111056856
11007,174.609375,x004,Rest,78.99978721426818,17.00003041474636
5194,207.12890625,x002,Rest,118.99985321816966,24.999996223337327
34084,27.44140625,x012,Rest,65.99952404250283,5.000015266884389
4848,173.33984375,x002,Rest,118.0000667989168,28.00017704994606
14568,222.265625,x005,Rest,78.99991206091092,14.999893162328114
36347,248.4375,x012,Rest,76.94477335215548,16.999786396374077
15317,295.41015625,x005,Rest,66.99972840051248,13.999938941618185
32948,216.6015625,x011,Rest,88.50013355204361,14.99984740745262
34728,90.33203125,x012,Rest,74.9994015702038,16.999786396374077
6657,49.90234375,x003,Rest,84.75745802594643,11.999847334209129
37581,68.84765625,x013,Rest,113.99956717431236,8.000045777764214
36916,3.90625,x013,Rest,119.99974999238258,7.49229407635731
39148,221.875,x013,Rest,126.9999632801312,7.000183111056856
14292,195.3125,x005,Rest,71.9998049256785,13.418057781581991
32737,195.99609375,x011,Rest,91.10479666900493,14.99984740745262
11011,175.0,x004,Rest,78.99978721426818,17.00003041474636
25294,69.3359375,x009,Rest,70.14815242537378,6.425550096133305
30665,293.75,x010,Rest,76.00051661120973,13.972563774696717
10123,88.28125,x004,Rest,77.00000082247384,17.00003041474636
2584,252.34375,x001,Rest,127.50804162724693,17.00003041474636
9499,27.34375,x004,Rest,76.42191920980473,15.99996938383148
5292,216.69921875,x002,Rest,112.31996153788684,21.32051967079788
25229,62.98828125,x009,Rest,65.22617297231746,6.773339030121769
19037,58.49609375,x007,Rest,59.99982619710577,13.99989303567728
14396,205.46875,x005,Rest,74.99985084077811,13.999938941618185
12233,294.3359375,x004,Rest,84.85932583699343,12.000060963774157
13715,138.96484375,x005,Rest,68.99975901057888,13.999938941618185
97,9.47265625,x001,Rest,104.0,21.99999986571856
10362,111.62109375,x004,Rest,83.00053496048425,17.00003041474636
14986,263.0859375,x005,Rest,77.80923235919823,16.80845054962546
13769,144.23828125,x005,Rest,67.99974370554568,13.999938941618185
36243,238.28125,x012,Rest,79.9996149785015,16.00013735770766
